NO LON-DEG LON-MIN LON-SEC LON-EW LAT-DEG LAT-MIN LAT-SEC LAT-NS CITY_NAME CNTRY_NAME POP
206 29° 20' 59.9978" E 2° 03' 00.0073" S Kibuye Rwanda 48024
207 105° 58' 26.4047" E 13° 31' 22.8144" N Stoeng-Treng Cambodia -999
208 140° 53' 27.6480" E 38° 15' 14.3858" N Sendai Japan 73132
209 115° 56' 04.4567" E 32° 02' 39.0010" S Fremantle Australia -999
210 29° 34' 00.1251" E 2° 28' 59.8728" S Gikongoro Rwanda -999
211 104° 53' 20.3908" E 12° 42' 43.1858" N Kampong-Thum Cambodia 19951
212 28° 53' 23.2559" E 2° 29' 45.8485" S Cyangugu Rwanda 63883
213 106° 01' 26.3871" E 12° 28' 08.3858" N Kracheh Cambodia 19975
214 145° 44' 06.0084" E 15° 08' 59.9891" N Saipan Northern-Mariana-Is. -999
215 121° 35' 53.5178" E 39° 01' 54.1989" N Dalian China 2035307
216 30° 03' 46.7904" E 1° 34' 48.0142" S Byumba Rwanda 70593
217 30° 03' 32.4050" E 1° 57' 00.0111" S Kigali Rwanda 745261
218 104° 39' 50.3907" E 12° 15' 25.2038" N Kampong-Chnang Cambodia 75244
219 96° 49' 33.8786" E 12° 09' 27.1186" S West-Island Cocos-Is. -999
220 29° 45' 28.7870" E 2° 04' 33.6108" S Gitarama Rwanda 87613
221 144° 44' 49.1691" E 13° 28' 01.1894" N Hagatna Guam 1051
222 105° 27' 53.9907" E 11° 59' 27.5892" N Kampong-Cham Cambodia 61750
223 30° 31' 59.8850" E 2° 10' 00.1055" S Kibungo Rwanda 46240
224 120° 26' 02.8695" E 36° 08' 54.0816" N Qingdao China 1642245
225 29° 43' 55.2157" E 2° 36' 00.0037" S Butare Rwanda 89600
226 139° 48' 32.4229" E 35° 40' 58.8074" N Tokyo Japan 8336599
227 104° 54' 47.4816" E 11° 33' 53.0606" N Phnom-Penh Cambodia 1573544
228 42° 32' 20.4156" E 0° 20' 45.5854" S Kismaayo Somalia -999
229 105° 43' 00.1213" E 10° 25' 00.1162" S The-Settlement Christmas-I. -999
230 105° 19' 26.4120" E 11° 29' 02.3997" N Prey-Veng Cambodia -999
231 139° 43' 37.9719" E 35° 30' 16.4775" N Kawasaki Japan 1306785
232 104° 31' 08.3940" E 11° 27' 07.1858" N Kampong-Spoe Cambodia 33231
233 37° 20' 34.7939" E 3° 20' 20.3997" S Moshi Tanzania 156959
234 119° 18' 14.4011" E 26° 04' 15.6073" N Fuzhou China 1179720
235 139° 37' 11.9906" E 35° 26' 13.1857" N Yokohama Japan 3574443
236 36° 40' 26.4048" E 3° 21' 57.6003" S Arusha Tanzania 341136
237 106° 08' 49.1979" E 11° 19' 22.7966" N Tay-Ninh Vietnam -999
238 109° 20' 20.4083" E 0° 01' 22.8142" S Pontianak Indonesia 455173
239 103° 22' 00.1249" E 19° 19' 59.8655" N Xiangkhoang Laos -999
240 103° 37' 00.0348" E 1° 36' 00.0072" S Jambi Indonesia 420323
241 136° 55' 15.6195" E 35° 09' 17.9963" N Nagoya Japan 2191279
242 39° 39' 17.6091" E 4° 03' 03.4022" S Mombasa Kenya 799668
243 121° 30' 24.2040" E 25° 02' 06.3349" N Taipei China 7871900
244 101° 29' 02.4014" E 19° 11' 42.0070" N Muang-Xaignabouri Laos -999
245 104° 45' 25.2121" E 2° 59' 27.5894" S Palembang Indonesia 1441500
246 135° 45' 18.0051" E 35° 00' 32.4036" N Kyoto Japan 1459640
247 39° 42' 18.8222" E 5° 03' 28.9299" S Wete Tanzania 26450
248 120° 40' 13.0130" E 24° 08' 37.1147" N T'aichung China 1040725
249 102° 16' 00.0349" E 3° 47' 59.9929" S Bengkulu Indonesia 309712
250 102° 40' 48.8475" E 18° 00' 06.2532" N Vientiane Laos 196731
251 135° 13' 16.3609" E 34° 41' 24.5367" N Kobe Japan 1528478
252 39° 05' 56.3906" E 5° 04' 08.3929" S Tanga Tanzania 224876
253 102° 44' 49.1903" E 17° 53' 02.3965" N Nong-Khai Thailand 63609
254 135° 31' 08.4121" E 34° 38' 09.5857" N Osaka Japan 2592413
255 101° 44' 06.0049" E 17° 29' 23.9892" N Loei Thailand 35273
256 105° 15' 14.4052" E 5° 24' 32.3998" S Tanjungkarang-Telukbetung Indonesia 800348
257 120° 12' 34.8783" E 23° 00' 57.5247" N T'ainan China 764147
258 39° 40' 00.1176" E 5° 20' 59.9859" S Mkoani Tanzania -999
259 102° 47' 23.9978" E 17° 24' 25.1964" N Udon-Thani Thailand 247231
260 136° 45' 43.1759" E 35° 24' 35.9858" N Gifu Japan 397714
261 106° 19' 58.9057" E 20° 27' 01.0946" N Thai-Binh Vietnam 53071
262 39° 42' 25.2050" E 10° 00' 07.1895" S Lindi Tanzania 41912
263 106° 48' 00.0122" E 6° 09' 59.9942" S Jakarta Indonesia 8540121
264 120° 17' 09.7920" E 22° 36' 28.8648" N Kaoshsiung China -999
265 105° 12' 39.5977" E 21° 49' 04.7929" N Tuyen-Quang Vietnam 36430
266 118° 46' 08.4158" E 32° 02' 52.8038" N Nanjing China 3087010
267 40° 11' 02.4051" E 10° 16' 30.0111" S Mtwara Tanzania 96602
268 104° 52' 30.0084" E 21° 42' 18.0107" N Yen-Bai Vietnam 96540
269 32° 40' 00.1105" E 18° 58' 00.1163" S Mutare Zimbabwe 184205
270 117° 16' 33.6121" E 31° 51' 39.5967" N Hefei China 1388904
271 119° 51' 03.6087" E 0° 53' 56.4035" S Palu Indonesia 282431
272 105° 51' 46.8155" E 21° 33' 03.6145" N Thai-Nguyen Vietnam 133877
273 105° 25' 40.7943" E 21° 18' 17.9929" N Viet-Tri Vietnam 93475
274 39° 15' 35.9943" E 5° 52' 44.3929" S Mkokotoni Tanzania 2572
275 121° 28' 22.8015" E 31° 14' 52.7998" N Shanghai China 14608512
276 29° 45' 00.0157" E 19° 28' 00.1310" S Gweru Zimbabwe 146073
277 128° 11' 59.9870" E 3° 43' 00.0014" S Ambon Indonesia 355596
278 31° 30' 00.0012" E 20° 59' 59.9893" S Masvingo Zimbabwe 76290
279 114° 16' 44.4118" E 30° 34' 22.8001" N Wuhan China 4184206
280 105° 49' 12.0086" E 21° 01' 48.0110" N Hanoi Vietnam 1431270
281 39° 16' 59.8776" E 6° 07' 59.8874" S Koani Tanzania 2311
282 122° 35' 18.1012" E 3° 57' 19.5731" S Kendari Indonesia -999
283 105° 19' 58.8120" E 20° 49' 47.9857" N Hoa-Binh Vietnam 105260
284 105° 58' 30.0012" E 20° 15' 10.7894" N Ninh-Binh Vietnam 36864
285 120° 09' 54.0120" E 30° 15' 10.7856" N Hangzhou China 1878129
286 43° 14' 34.8088" E 11° 42' 00.0003" S Moroni Comoros 42872
287 39° 12' 10.8050" E 6° 09' 57.5963" S Zanzibar Tanzania 403658
288 119° 43' 22.0379" E 5° 11' 25.5335" S Makassar Indonesia 1321717
289 105° 46' 37.2011" E 19° 48' 32.3997" N Thanh-Hoa Vietnam 112473
290 35° 44' 16.8051" E 6° 10' 29.9963" S Dodoma Tanzania 180541
291 106° 45' 25.2047" E 21° 50' 45.5893" N Lang-Son Vietnam -999
292 40° 30' 00.0015" E 12° 57' 59.9760" S Pemba Mozambique 108737
293 38° 55' 00.1286" E 6° 46' 00.1344" S Kibaha Tanzania 23651
294 115° 53' 20.4158" E 28° 40' 15.6108" N Nanchang China 1871351
295 125° 34' 51.5870" E 8° 34' 15.5892" S Dili Timor-Leste 150000
296 106° 11' 31.1978" E 21° 16' 15.5853" N Phu-Lang-Thuong Vietnam 53728
297 113° 00' 00.0159" E 28° 05' 59.9928" N Changsha China 2073938
298 106° 19' 51.6156" E 20° 56' 31.2036" N Hai-Duong Vietnam 58030
299 40° 41' 27.7239" E 15° 03' 58.0858" S Mocambique Mozambique -999
300 39° 15' 12.0503" E 6° 49' 02.4818" S Dar-es-Salaam Tanzania 2698652
301 130° 49' 55.2051" E 12° 24' 46.7928" S Darwin Australia 93080
302 106° 40' 47.2456" E 20° 51' 40.8674" N Haiphong Vietnam 602695
303 113° 17' 37.0007" E 23° 05' 46.2733" N Guangzhou China 3152825
304 31° 01' 12.0122" E 17° 49' 47.9964" S Harare Zimbabwe 1542813
305 133° 13' 11.9938" E 15° 44' 59.9999" S Birdum Australia -999
306 37° 39' 39.6154" E 6° 49' 19.2001" S Morogoro Tanzania 250902
307 107° 07' 59.8814" E 16° 50' 59.9929" N Dong-Ha Vietnam 17662
308 117° 09' 14.3978" E 0° 30' 07.2073" S Samarinda Indonesia 355160
309 35° 41' 31.2088" E 7° 46' 37.1962" S Iringa Tanzania 111820
310 123° 22' 58.9885" E 41° 48' 07.7938" N Shenyang China 3512192
311 35° 39' 03.5942" E 10° 40' 55.2037" S Songea Tanzania 126449
312 33° 29' 00.0217" E 19° 08' 00.0027" S Chimoio Mozambique 256936
313 107° 35' 06.0046" E 16° 27' 46.7926" N Hue Vietnam 287217
314 116° 51' 35.9867" E 1° 12' 35.9858" S Balikpapan Indonesia 433866
315 122° 58' 37.2303" E 41° 06' 54.8966" N Anshan China 1199275
316 34° 44' 49.2085" E 0° 05' 42.0146" S Kisumu Kenya 216479
317 28° 42' 36.0010" E 20° 11' 59.9859" S Bulawayo Zimbabwe 699385
318 108° 12' 54.0050" E 16° 03' 07.2146" N Da-Nang Vietnam 752493
319 113° 56' 00.0253" E 2° 16' 00.0047" S Palangkaraya Indonesia -999
320 36° 04' 08.4120" E 0° 16' 47.9967" S Nakuru Kenya 259903
321 116° 23' 16.9311" E 39° 54' 22.2806" N Beijing China 7480601
322 108° 48' 43.1943" E 15° 07' 26.3857" N Quang-Ngai Vietnam 32992
323 36° 57' 03.6124" E 0° 25' 01.1893" S Nyeri Kenya 51084
324 10° 12' 43.2122" E 0° 42' 21.5858" S Lambarene Gabon 20714
325 118° 10' 48.7431" E 39° 36' 55.5985" N Tangshan China 1596949
326 114° 35' 20.3977" E 3° 19' 40.8074" S Bandjermasin Indonesia 572837
327 108° 00' 54.0118" E 14° 20' 59.9857" N Kon-Tum Vietnam 47409
328 117° 11' 06.0158" E 39° 07' 40.8143" N Tianjin China 3766207
329 108° 01' 00.0062" E 13° 57' 00.0001" N Play-Cu Vietnam 114225
330 37° 26' 56.4013" E 0° 31' 26.3926" S Embu Kenya 34922
331 8° 46' 55.2084" E 0° 43' 15.5963" S Port-Gentil Gabon 109163
332 109° 13' 59.9680" E 13° 45' 59.9796" N Qui-Nhon Vietnam 210338
333 112° 41' 03.7480" E 7° 23' 59.9930" S Surabaja Indonesia 2374658
334 11° 00' 14.4121" E 1° 53' 05.9855" S Mouila Gabon 22469
