ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1547,Le Kef,Tunisia,Provincial capital,TS,-999,7,Less than 50;000
1548,Erzincan,Turkey,Provincial capital,TU,114027,5,100;000 to 249;999
1549,Zagizig,Egypt,Provincial capital,EG,-999,7,Less than 50;000
1550,Pila,Poland,Provincial capital,PL,75532,6,50;000 to 99;999
1551,Targu Jiu,Romania,Provincial capital,RO,97179,6,50;000 to 99;999
1552,Siliana,Tunisia,Provincial capital,TS,26960,7,Less than 50;000
1553,Gorzow Wielkopolski,Poland,Provincial capital,PL,124430,5,100;000 to 249;999
1554,Bistrita,Romania,Provincial capital,RO,81318,6,50;000 to 99;999
1555,Kasserine,Tunisia,Provincial capital,TS,81987,6,50;000 to 99;999
1556,Nal'chik,Russia,Provincial capital,RS,272800,4,250;000 to 499;999
1557,Benha,Egypt,Provincial capital,EG,-999,7,Less than 50;000
1558,Zielona Gora,Poland,Provincial capital,PL,118433,5,100;000 to 249;999
1559,Targu-Mures,Romania,Provincial capital,RO,146863,5,100;000 to 249;999
1560,Sdid Bouzid,Tunisia,Provincial capital,TS,-999,7,Less than 50;000
1561,Leszno,Poland,Provincial capital,PL,63565,6,50;000 to 99;999
1562,Vladikavkaz,Russia,Provincial capital,RS,317370,4,250;000 to 499;999
1563,Cairo,Egypt,National and provincial capital,EG,7734614,1,5;000;000 and greater
1564,Botosani,Romania,Provincial capital,RO,114783,5,100;000 to 249;999
1565,Legnica,Poland,Provincial capital,PL,106033,5,100;000 to 249;999
1566,Sfax,Tunisia,Other,TS,277278,4,250;000 to 499;999
1567,Suceava,Romania,Provincial capital,RO,105796,5,100;000 to 249;999
1568,Nazran,Russia,Provincial capital,RS,164131,5,100;000 to 249;999
1569,Gafsa,Tunisia,Provincial capital,TS,81232,6,50;000 to 99;999
1570,Giza,Egypt,Other,EG,2443203,2,1;000;000 to 4;999;999
1571,Iasi,Romania,Provincial capital,RO,318012,4,250;000 to 499;999
1572,Jelenia Gora,Poland,Provincial capital,PL,87310,6,50;000 to 99;999
1573,T'Bilisi,Georgia,National and provincial capital,GG,1049498,2,1;000;000 to 4;999;999
1574,Gabes,Tunisia,Provincial capital,TS,110075,5,100;000 to 249;999
1575,Suez,Egypt,Other,EG,488125,4,250;000 to 499;999
1576,Piatra-Neamt,Romania,Provincial capital,RO,102688,5,100;000 to 249;999
1577,Walbrzych,Poland,Provincial capital,PL,127431,5,100;000 to 249;999
1578,Kars,Turkey,Provincial capital,TU,77486,6,50;000 to 99;999
1579,Nabeul,Tunisia,Provincial capital,TS,-999,7,Less than 50;000
1580,Vaslui,Romania,Provincial capital,RO,69225,6,50;000 to 99;999
1581,Beni Suef,Egypt,Provincial capital,EG,-999,7,Less than 50;000
1582,Usti Nad Labem,Czech Republic,Provincial capital,EZ,94105,6,50;000 to 99;999
1583,Zaghouan,Tunisia,Provincial capital,TS,16911,7,Less than 50;000
1584,Bacau,Romania,Provincial capital,RO,171396,5,100;000 to 249;999
1585,Sousse,Tunisia,Provincial capital,TS,164123,5,100;000 to 249;999
1586,Gdynia,Poland,Other,PL,253730,4,250;000 to 499;999
1587,Yerevan,Armenia,National capital,AM,1093485,2,1;000;000 to 4;999;999
1588,Piraeus,Greece,Other,GR,172429,5,100;000 to 249;999
1589,Monasir,Tunisia,Provincial capital,TS,71546,6,50;000 to 99;999
1590,Miercurea-Cuic,Romania,Provincial capital,RO,41282,7,Less than 50;000
1591,Kaliningrad,Russia,Provincial capital,RS,434954,4,250;000 to 499;999
1592,Slupsk,Poland,Provincial capital,PL,98608,6,50;000 to 99;999
1593,Agri,Turkey,Provincial capital,TU,92022,6,50;000 to 99;999
1594,Manisa,Turkey,Provincial capital,TU,243971,5,100;000 to 249;999
1595,Kairouan,Tunisia,Provincial capital,TS,119794,5,100;000 to 249;999
1596,Gdansk,Poland,Provincial capital,PL,461865,4,250;000 to 499;999
1597,Sfintu-Gheorghe,Romania,Provincial capital,RO,60677,6,50;000 to 99;999
1598,Tunceli,Turkey,Provincial capital,TU,29062,7,Less than 50;000
1599,Mahdia,Tunisia,Provincial capital,TS,-999,7,Less than 50;000
1600,Elblag,Poland,Provincial capital,PL,127558,5,100;000 to 249;999
1601,Brasov,Romania,Provincial capital,RO,276088,4,250;000 to 499;999
1602,Olsztyn,Poland,Provincial capital,PL,171803,5,100;000 to 249;999
1603,Focsani,Romania,Provincial capital,RO,105112,5,100;000 to 249;999
1604,Izmir,Turkey,Provincial capital,TU,2500603,2,1;000;000 to 4;999;999
1605,Bingol,Turkey,Provincial capital,TU,80568,6,50;000 to 99;999
1606,Bydgoszcz,Poland,Provincial capital,PL,366452,4,250;000 to 499;999
1607,Bari,Italy,Provincial capital,IT,316532,4,250;000 to 499;999
1608,Galati,Romania,Provincial capital,RO,294087,4,250;000 to 499;999
1609,Braila,Romania,Provincial capital,RO,213569,5,100;000 to 249;999
1610,Torun,Poland,Provincial capital,PL,208717,5,100;000 to 249;999
1611,Campobasso,Italy,Provincial capital,IT,50762,6,50;000 to 99;999
1612,Buzau,Romania,Provincial capital,RO,130954,5,100;000 to 249;999
